c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49;c50;c51;c52;c53;c54;c55;c56;c57;c58;c59;c60;c61;c62;c63;c64;c65;c66;c67;c68;c69;c70;c71;c72;c73;c74;c75;c76;c77;c78;c79;c80;c81;c82;c83;c84;c85;c86;c87;c88;c89;c90;c91;c92;c93;c94;c95;c96;c97;c98;c99;c100;c101;c102;c103;c104;c105;c106;c107;c108;c109;c110;c111;c112;c113
1;1;1;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2.7773;3.7733;2.7773;1.5419;4.0007;2.6264;3.0311;2.5283;2.7414;2.2362;2.5283;1.6328;5.1643;2.2362;2.5283;2.6193;5.1643;2.6264;2.5283;5.2792;5.2792;2.7054;3.4979;3.4979;4.0534;4.0534;5.1643;5.1643;5.2792;5.2792;2.6193;5.2792;2.6193;2.6193;2.6193;2.5283;2.5283;2.5283;2.1739;2.1739;2.1739;-0.7638;-0.7638;-0.7638;1.6328;1.5419;2.5283;-0.498;-0.498;-0.498;-0.498;-1.2881;-1.2881;-1.2881;-1.2881;2,6049;2.8563;2.8563;2.8563;2.8563;2.8563;2.8563;2.8563;3.2202;3.2202;3.2202;3.2202;3.2202;3.2202;3.2154;3.2154;3.2154;3.2154;3.5793;4.5921;4.5921;5.3846;5.3846;6.2249;6.2249;6.2249;6.8259;6.8259;6.8259;1.6215;1.6215;1.6215;1.6215;1.6215;1.6215;1.6215;1.6215;1.6215;1.6215;1.066;7.2018;7.2018;7.4292;7.4292;5.7509;5.7509;5.7509;5.7509;7.1299;6.6822;6.6822;6.6822;6.6822;6.6822;7.2832;7.2832;3.9025;3.9025
2.7749;3.7924;2.7869;1.5682;3.8595;2.6193;3.0311;2.5738;2.7246;2.387;1.6855;1.64;5.1715;2.2625;2.1213;3.5698;5.0254;2.6695;1.9680000000000002;5.2026;5.2289;2.6552;3.3974;2.5881;4.0965;3.6129;5.1715;5.0254;5.2696;5.2289;2.6001;5.2026;3.5698;3.3806;2.7461;2.5738;1.6855;1.9680000000000002;2.1644;1.7166;1.5658;-0.826;-0.2274;0.1724;1.64;1.5682;2.1213;2.4684;3.8283;-2.0614;-0.9936;3.2801;3.7445;4.3694;-1.1756;2,4708;4.5945;4.8746;4.3359;4.9799;3.5889;2.1045;2.739;1.0989;3.0167;3.1484;2.6552;3.0861;3.2489;5.102;4.1324;4.6735;3.2441;3.6679;4.0127;4.3598;4.1013;5.2505;6.9001;6.7157;6.3255;7.1826;7.1467;6.7684;-0.2975;4.3545;1.321;0.9493;1.3276;1.0445;0.249;1.3378;1.2887;1.5975;1.8854;7.1539;7.3382;7.6064;7.0677;5.636;5.0661;5.375;4.0677;7.002999999999999;6.6894;6.098;6.5386;7.4292;6.8618;7.263999999999999;7.1778;4.3598;7.0078
2.9305;3.7876;2.8395;1.6041;3.7996;2.6264;3.0526;2.7533;2.7246;2.387;1.7549;1.7023;5.2409;2.2625;2.0973;3.5889;5.0159;2.5474;1.9417;5.2170000000000005;5.2577;2.6121;3.2274;2.6671;4.0893;3.4165;5.2409;5.0159;5.2433;5.2577;2.6312;5.2170000000000005;3.5889;3.4069;2.739;2.7533;1.7549;1.9417;2.0973;1.7837;1.5347;-0.9194;-0.2729;0.1604;1.7023;1.6041;2.0973;2.4972;4.4652;-2.0925;-1.5347;3.6009;3.6655;4.8363;-1.1612;2,411;4.5035;3.5027;4.4125;4.888999999999999;3.6751;2.0901;2.6983;1.1037;3.0406;3.2226;2.5115;3.3806;3.4022;5.1092;4.1683;4.7357;3.5674;3.7757;4.0318;4.197;4.0893;5.0661;6.8594;6.7397;6.3734;7.1539;7.185;6.7133;-0.2783;4.3568;1.3216;0.9457;1.3288;0.9990000000000001;0.3083;1.3886;1.2635;1.6316;1.8459;7.1227;7.3215;7.7476;7.1395;5.6479;4.9297;5.3008;3.9672;6.8331;6.675;6.0214;6.6248;7.4292;6.845;7.2329;7.0366;4.9775;7.0557
2.9042;3.7804;2.8491;1.6376;3.8642;2.6312;3.0526;2.7198;2.7725;2.3607;1.834;1.7454;5.2241;2.2841;2.1572;3.553;5.0254;2.5259;1.8962;5.2218;5.272;2.5283;3.0718;2.7102;4.0845;3.1723;5.2241;5.0254;5.2625;5.272;2.6217;5.2218;3.553;3.3926;2.7629;2.7198;1.834;1.8962;2.0925;1.7957;1.506;-1.0247;-0.3065;0.2059;1.7454;1.6376;2.1572;2.49;5.0087;-2.1811;-2.0973;3.8666;3.7254;5.1811;-1.3264;2,3727;4.3598;2.7246;4.6112;4.7357;3.8930000000000002;2.0494;2.6719;1.0463;3.0981;3.3878;2.4804;3.4333;3.6009;5.0996;4.1946;4.8339;4.0486;3.7397;4.0725;4.1707;3.8475;4.9536;6.8426;6.7947;6.4356;7.1635;7.2568;6.7157;-0.2759;4.4101;1.385;0.9637;1.2881;1.078;0.3304;1.3449;1.2623;1.6369999999999998;1.8208;7.1156;7.3287;7.7931;7.2185;5.6144;4.8435;5.1643;3.96;6.7086;6.6918;6.0238;6.6128;7.4364;6.8474;7.2305;6.8714;5.8323;7.1108
2.8036;3.6895;2.8443;1.6759;3.9816;2.6695;3.0406;2.2051;2.7725;2.3607;1.8435;1.7765;5.2577;2.2841;2.2266;3.5458;5.023;2.4445;1.8507;5.2409;5.2481;2.4349;3.0191;2.7366;4.0845;3.0718;5.2577;5.023;5.296;5.2481;2.5929;5.2409;3.5458;3.4524;2.7725;2.2051;1.8435;1.8507;2.1045;1.7573;1.4748;-1.1277;-0.3208;0.2753;1.7765;1.6759;2.2266;2.5019;5.442;-2.2027;-2.5929;4.1085;3.7948;6.3734;-1.4557;2,3032;4.367;2.296;4.7932;4.5442;3.7757;2.0469999999999997;2.6695;0.8906;3.1508;3.5027;2.4612;3.4022;3.7565;5.0925;4.3359;4.865;4.6232;3.5099;4.1707;4.3167;3.4955;4.9153;6.8235;6.8187;6.5027;7.2377;7.2425;6.8163;-0.3071;4.4712;1.4054;0.9792;1.2989;1.1564;0.3382;1.4299;1.2611;1.6448;1.8214;7.0916;7.3191;7.9176;7.3071;5.6144;4.8866;5.0805;4.0869;6.7229;6.6535;6.0047;6.5769;7.434;6.8235;7.2113;6.7828;7.0892;7.1946
2.715;3.6368;2.8419;1.7095;4.0462;2.6695;3.0406;2.1356;2.8587;2.3176;1.7885;1.7717;5.2984;2.2673;2.2146;3.5793;5.0135;2.3822;1.8148;5.3032;5.272;2.375;3.0358;2.7845;4.0103;3.0478;5.2984;5.0135;5.3271;5.272;2.6073;5.3032;3.5793;3.4979;2.7677;2.1356;1.7885;1.8148;2.2051;1.7166;1.4653;-1.1779;-0.3496;0.2849;1.7717;1.7095;2.2146;2.4972;5.5929;-2.1572;-2.9185;4.0893;3.8164;5.9592;-1.5395;2,2577;4.4867;2.0303;4.8842;4.2665;4.0366;2.0566;2.7078;0.7973;3.2346;3.5626;2.545;3.0694;3.8571;5.0637;4.5107;4.8052;5.43;3.0694;4.1827;4.6136;3.2154;4.9488;6.79;6.8115;6.5457;7.3526;7.2616;6.9456;-0.2957;4.5005;1.406;0.9954;1.2791;1.1337;0.3615;1.391;1.2773;1.6047;1.801;7.0437;7.3071;7.9751;7.3574;5.7102;4.968;5.0829;4.1013;6.7588;6.5984;5.9903;6.5505;7.4029;6.8091;7.2257;6.7612;8.3941;7.2305
2.6671;3.6871;2.8706;1.7478;4.0175;2.636;3.0311;2.4157;2.8587;2.3176;1.7597;1.743;5.2672;2.2673;2.1715;3.6224;5.0159;2.2865;1.8292;5.2625;5.3008;2.3942;3.1268;2.7629;3.9241;3.0694;5.2672;5.0159;5.3127;5.3008;2.5953;5.2625;3.6224;3.4668;2.7916;2.4157;1.7597;1.8292;2.2122;1.6807;1.4006;-1.1516;-0.4166;0.4094;1.743;1.7478;2.1715;2.4612;5.3415;-1.9273;-3.1412;3.9456;3.7804;5.7269;-1.5443;2,3559;4.5586;1.9561;4.9775;3.8595;4.1707;2.0494;2.7605;0.7829;3.2705;3.5745;2.6576;2.8012;3.8930000000000002;4.9847;4.7860000000000005;4.7357;5.272;2.6408;4.1946;4.7094;3.1196;4.9321;6.7852;6.8163;6.541;7.4053;7.2185;7.0868;-0.2897;4.4993;1.4323;1.005;1.2947;1.1043;0.3998;1.4162;1.3102;1.5819999999999999;1.8274;6.9504;7.2568;7.8697;7.4675;5.7652;4.9871;5.047;4.1013;6.869;6.5721;5.9568;6.4835;7.3957;6.7732;7.2496;6.8331;9.2201;7.2161
2.6695;3.7565;2.885;1.8244;3.9696;2.6528;3.0311;2.6049;2.8515;2.3008;1.7071;1.7741;5.3032;2.217;2.15;3.6416;5.0757;2.0853;1.8699;5.1834;5.284;2.3248;3.1173;2.6791;3.9433;2.9018;5.3032;5.0757;5.3079;5.284;2.5977;5.1834;3.6416;3.4309;2.7988;2.6049;1.7071;1.8699;2.0973;1.6448;1.4293;-1.0032;-0.4549;0.5507;1.7741;1.8244;2.15;2.4876;5.1092;-1.8962;-3.3639;3.6464;3.8714;5.6743;-1.4485;2,2793;4.4388;2.1308;4.8291;3.4788;4.1994;2.1308;2.818;0.7614;3.2825;3.5554;2.7653;2.5426;3.9097;4.9344;5.0063;4.7453;4.8483;2.3942;4.1779;4.4245;3.2968;4.7716;6.8091;6.7995;6.517;7.4795;7.1898;7.2113;-0.2921;4.4993;1.4180000000000001;1.0163;1.2779;1.0786;0.4202;1.4706;1.3018;1.5526;1.8274;6.9073;7.2065;7.7428;7.6064;5.7413;5.0063;5.0613;4.2736;6.9647;6.4835;5.9687;6.3949;7.3933;6.766;7.2856;6.9983;9.3326;7.1946
2.5905;3.7541;2.8587;1.8818;3.96;2.6408;3.0742;2.4804;2.8515;2.3008;1.6903;1.798;5.272;2.217;2.1691;3.6439999999999997;5.0685;1.9728;1.8866;5.1164;5.2505;2.3583;3.1149;2.5905;3.9768;2.5091;5.272;5.0685;5.284;5.2505;2.5881;5.1164;3.6439999999999997;3.3160000000000003;2.7414;2.4804;1.6903;1.8866;2.0566;1.7023;1.4629;-0.7901;-0.5339;0.5267;1.798;1.8818;2.1691;2.5402;4.5562;-1.6352;-3.5626;3.3878;3.9696;5.7509;-1.2354;2,2649;4.2928;2.4038;4.7214;3.1627;4.6088;2.2793;2.7892;0.8452;3.2872;3.4931;2.8323;2.1715;3.8451;4.9249;5.102;4.7788;4.8626;2.4421;4.2162;3.8738;4.0175;4.3742;6.7924;6.7612;6.4691;7.5537;7.1371;7.2832;-0.3053;4.4885;1.3892;1.0379;1.3126;1.1145;0.4896;1.4240000000000002;1.3054;1.5664;1.8483;6.8881;7.1802;7.6686;7.6734;5.7628;5.102;5.1092;4.4963;6.9959;6.3327;6.0118;6.2752;7.3598;6.8091;7.2879;7.2065;9.0908;7.1227
